education,gender,questionnaire score(EQ),gradeof software,grade of questionnaire score(EQ)
1,1,148,19,5
1,1,131,17,4
1,1,126,16,3
1,1,135,17,4
1,1,132,16,4
1,1,145,18,5
1,1,129,15,3
1,1,132,16,4
1,1,119,14,2
1,1,129,16,3
1,1,121,17,3
1,1,129,17,3
1,1,134,19,4
1,1,130,17,3
1,1,116,14,2
1,1,146,19,5
1,1,140,20,4
1,1,124,17,3
1,1,142,18,5
1,1,128,16,3
1,1,131,16,4
1,1,137,18,4
1,1,107,12,1
1,1,101,11,1
1,1,119,14,2
0,1,140,19,4
0,1,131,16,4
0,1,141,20,5
0,1,118,14,2
0,1,129,16,3
0,1,140,18,4
0,1,135,15,4
0,1,146,20,5
0,1,123,13,3
0,1,104,12,1
0,1,130,16,3
0,1,128,17,3
0,1,103,11,1
0,1,122,13,3
0,1,124,15,3
0,1,115,11,2
0,1,122,16,3
0,1,130,15,3
0,1,115,10,2
0,1,130,14,3
0,1,101,14,1
0,1,114,14,2
0,1,103,11,1
0,1,133,15,4
0,1,108,14,1
0,0,136,15,4
0,0,120,13,2
0,0,124,16,3
0,0,104,11,1
0,0,119,16,2
0,0,133,18,4
0,0,123,17,3
0,0,150,17,5
0,0,136,16,4
0,0,131,17,4
0,0,136,18,4
0,0,132,14,4
0,0,128,12,3
0,0,136,14,4
0,0,121,15,3
0,0,147,20,5
0,0,141,17,5
0,0,125,16,3
0,0,136,19,4
0,0,101,15,1
0,0,106,13,1
0,0,113,15,2
0,0,126,16,3
0,0,129,17,3
0,0,116,14,2
1,0,101,16,1
1,0,103,14,1
1,0,123,15,3
1,0,123,12,3
1,0,112,15,2
1,0,122,17,3
1,0,109,16,1
1,0,133,18,4
1,0,130,18,3
1,0,135,19,4
1,0,124,17,3
1,0,117,14,2
1,0,136,16,4
1,0,132,18,4
1,0,111,14,2
1,0,112,10,2
1,0,137,19,4
1,0,133,16,4
1,0,115,13,2
1,0,116,17,2
1,0,133,16,4
1,0,142,17,5
1,0,105,13,1
1,0,119,15,2
1,0,125,16,3
